<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ДетскийМир;D;20181129;000000;92.34;93.7;92.04;92.92;389430;0
ДетскийМир;D;20181130;000000;93.1;93.5;92.6;93.5;246180;0
ДетскийМир;D;20181203;000000;93.16;93.22;92.5;92.92;799270;0
ДетскийМир;D;20181204;000000;93.22;93.4;92.64;93.02;530540;0
ДетскийМир;D;20181205;000000;92.92;93.28;92.58;92.92;289060;0
ДетскийМир;D;20181206;000000;93.2;93.2;92.7;93.1;267220;0
ДетскийМир;D;20181207;000000;93;93.54;93;93.5;1309230;0
ДетскийМир;D;20181210;000000;93.48;94.46;93.1;93.4;417330;0
ДетскийМир;D;20181211;000000;93.4;93.74;93.02;93.2;268480;0
ДетскийМир;D;20181212;000000;93.02;94.5;93;93.94;327200;0
ДетскийМир;D;20181213;000000;93.7;93.98;92.12;93.84;387330;0
ДетскийМир;D;20181214;000000;93.3;93.84;92.9;93.16;205600;0
ДетскийМир;D;20181217;000000;92.66;93.5;92.56;92.96;219330;0
ДетскийМир;D;20181218;000000;92.74;93;92.2;92.6;225100;0
ДетскийМир;D;20181219;000000;92.36;93.32;92.36;93;414240;0
ДетскийМир;D;20181220;000000;92.48;93.08;92.26;92.88;214660;0
ДетскийМир;D;20181221;000000;92.88;93.96;92.88;93.7;328340;0
ДетскийМир;D;20181224;000000;93.6;95.1;92.74;94.88;788650;0
ДетскийМир;D;20181225;000000;91.5;91.68;89;89.6;433930;0
ДетскийМир;D;20181226;000000;89.98;91.72;89.44;91.04;299560;0
ДетскийМир;D;20181227;000000;91.52;91.6;89.82;90;285980;0
ДетскийМир;D;20181228;000000;89.98;91;89.98;90.2;256120;0
ДетскийМир;D;20181229;000000;90.58;90.94;90.1;90.44;198950;0
ДетскийМир;D;20190103;000000;90.44;91.8;90.22;90.68;140740;0
ДетскийМир;D;20190104;000000;90.56;91.5;90.46;90.72;41700;0
ДетскийМир;D;20190108;000000;90.5;91.4;90.5;90.7;47870;0
ДетскийМир;D;20190109;000000;91.32;91.42;90.72;90.8;208140;0
ДетскийМир;D;20190110;000000;91.26;91.46;90.6;90.96;174730;0
ДетскийМир;D;20190111;000000;91.2;91.3;90.88;91.18;143780;0
ДетскийМир;D;20190114;000000;91.18;91.9;91.12;91.7;268580;0
ДетскийМир;D;20190115;000000;91.92;91.96;91.24;91.5;348360;0
ДетскийМир;D;20190116;000000;91.22;91.76;91.18;91.5;491040;0
ДетскийМир;D;20190117;000000;91.7;92;91.32;91.56;436620;0
ДетскийМир;D;20190118;000000;91.62;92.5;90.6;91.76;554940;0
ДетскийМир;D;20190121;000000;91.98;92.5;91.22;92.26;228220;0
ДетскийМир;D;20190122;000000;92.3;93.26;92.1;92.76;225580;0
ДетскийМир;D;20190123;000000;92.02;92.86;92.02;92.76;126360;0
ДетскийМир;D;20190124;000000;92.8;92.9;92.06;92.6;202900;0
ДетскийМир;D;20190125;000000;92.38;92.96;90.48;92.44;660940;0
ДетскийМир;D;20190128;000000;92.44;92.82;90.98;91.28;257920;0
ДетскийМир;D;20190129;000000;91.68;91.68;90.82;91.2;184620;0
ДетскийМир;D;20190130;000000;90.94;91.38;90.74;90.88;262770;0
ДетскийМир;D;20190131;000000;90.98;91;90.7;90.9;183410;0
ДетскийМир;D;20190201;000000;90.8;91.24;89.58;90.9;326330;0
ДетскийМир;D;20190204;000000;90.3;91.26;90.3;90.94;99040;0
ДетскийМир;D;20190205;000000;90.8;91.5;90.6;90.8;350130;0
ДетскийМир;D;20190206;000000;91;91.08;90.62;90.76;229350;0
ДетскийМир;D;20190207;000000;90.8;90.98;87.5;89.86;534470;0
ДетскийМир;D;20190208;000000;89.74;90.48;89.2;89.9;109390;0
ДетскийМир;D;20190211;000000;90.2;90.78;89.9;90.7;68170;0
ДетскийМир;D;20190212;000000;90.78;90.98;89.62;90.02;498720;0
ДетскийМир;D;20190213;000000;90.4;90.78;88.9;89.1;403840;0
ДетскийМир;D;20190214;000000;89.98;89.98;86.9;88.9;850770;0
ДетскийМир;D;20190215;000000;88.96;89.4;88.58;89.1;136840;0
ДетскийМир;D;20190218;000000;89.14;89.14;88.16;88.8;78630;0
ДетскийМир;D;20190219;000000;88.82;89.22;88.34;88.68;143170;0
ДетскийМир;D;20190220;000000;89.14;89.14;86.64;87.66;597720;0
ДетскийМир;D;20190221;000000;87.92;88;87.4;87.5;229570;0
ДетскийМир;D;20190222;000000;87.5;87.94;87.3;87.4;185260;0
ДетскийМир;D;20190225;000000;87.68;88.34;87.36;88.02;119420;0
ДетскийМир;D;20190226;000000;88.1;88.3;87.92;87.94;65250;0
ДетскийМир;D;20190227;000000;88.26;88.88;87.42;87.68;231090;0
ДетскийМир;D;20190228;000000;87.88;88.92;87.52;88.92;213010;0
ДетскийМир;D;20190301;000000;90.44;90.44;88.6;88.92;391040;0
ДетскийМир;D;20190304;000000;89.8;89.8;87.5;87.58;388330;0
ДетскийМир;D;20190305;000000;88.38;89;87.62;88.7;442730;0
ДетскийМир;D;20190306;000000;88.42;89;88.42;88.98;260180;0
ДетскийМир;D;20190307;000000;88.9;89;88.22;88.36;220760;0
ДетскийМир;D;20190311;000000;88.34;90.16;88.34;89.98;438330;0
ДетскийМир;D;20190312;000000;90.2;91;89.58;90.5;1055360;0
ДетскийМир;D;20190313;000000;90.14;90.68;88.92;89;521850;0
ДетскийМир;D;20190314;000000;89.04;89.6;88.1;88.38;517700;0
ДетскийМир;D;20190315;000000;88.4;88.96;88.06;88.12;901330;0
ДетскийМир;D;20190318;000000;88.76;90;88.1;89.98;610670;0
ДетскийМир;D;20190319;000000;90.6;90.6;88.7;89.6;335310;0
ДетскийМир;D;20190320;000000;89.14;90;89.14;89.24;155970;0
ДетскийМир;D;20190321;000000;89.92;89.92;88.72;88.8;287450;0
ДетскийМир;D;20190322;000000;89.38;89.8;88.5;88.9;246370;0
ДетскийМир;D;20190325;000000;89.46;89.46;88.28;88.44;280500;0
ДетскийМир;D;20190326;000000;88.3;89.3;88;88.5;191210;0
ДетскийМир;D;20190327;000000;88.3;89;88.22;88.66;208470;0
ДетскийМир;D;20190328;000000;89.06;89.1;88.56;88.78;46430;0
ДетскийМир;D;20190329;000000;88.88;88.94;87.5;88.88;173630;0
ДетскийМир;D;20190401;000000;90;90;88.42;88.9;163350;0
ДетскийМир;D;20190402;000000;88.84;89.2;88.54;89;98160;0
ДетскийМир;D;20190403;000000;88.6;89.2;88.6;88.8;70110;0
ДетскийМир;D;20190404;000000;89.1;89.1;88.6;88.8;47420;0
ДетскийМир;D;20190405;000000;88.62;89;88.5;88.84;50980;0
ДетскийМир;D;20190408;000000;88.56;89.3;87.98;88.3;155880;0
ДетскийМир;D;20190409;000000;88.3;88.7;87.7;87.7;339590;0
ДетскийМир;D;20190410;000000;88.18;88.22;87.7;87.86;156330;0
ДетскийМир;D;20190411;000000;87.92;88.16;87.6;87.7;366800;0
ДетскийМир;D;20190412;000000;87.72;88.2;87.72;87.9;267360;0
ДетскийМир;D;20190415;000000;88;88.7;87.76;88.3;421760;0
ДетскийМир;D;20190416;000000;88.32;89;88.02;88.88;470170;0
ДетскийМир;D;20190417;000000;88.94;89.54;88.94;89.02;205790;0
ДетскийМир;D;20190418;000000;89.4;89.42;88.08;88.1;289350;0
