<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ОР ао;D;20190503;000000;46.7;47.8;46.7;47.8;24370;0
ОР ао;D;20190506;000000;47.75;48;46.8;47.25;22750;0
ОР ао;D;20190507;000000;47.65;47.65;46.9;47.15;13140;0
ОР ао;D;20190508;000000;46.9;47.5;46.4;46.7;16490;0
ОР ао;D;20190510;000000;46.45;47.25;46.45;46.95;3330;0
ОР ао;D;20190513;000000;46.65;47;45.85;47;25370;0
ОР ао;D;20190514;000000;46.95;47.5;46.8;47.25;15350;0
ОР ао;D;20190515;000000;47.5;47.55;46.4;46.8;45420;0
ОР ао;D;20190516;000000;47;47.1;46.8;47;52870;0
ОР ао;D;20190517;000000;47;47.45;46.85;47.45;15370;0
ОР ао;D;20190520;000000;48;48.75;47.7;47.9;74060;0
ОР ао;D;20190521;000000;48;48.6;47.6;47.85;97340;0
ОР ао;D;20190522;000000;47.8;48;47.55;47.8;102170;0
ОР ао;D;20190523;000000;47;47.95;47;47.2;94560;0
ОР ао;D;20190524;000000;47.5;47.7;46.6;47.45;91490;0
ОР ао;D;20190527;000000;47.45;47.5;46.45;46.75;66660;0
ОР ао;D;20190528;000000;46.7;47.15;46.5;47;29140;0
ОР ао;D;20190529;000000;46.6;47;46.55;46.85;29070;0
ОР ао;D;20190530;000000;46.9;46.9;46.5;46.8;25660;0
ОР ао;D;20190531;000000;46.55;47.9;46.4;47.15;46790;0
ОР ао;D;20190603;000000;47.5;49.95;47;48.6;81810;0
ОР ао;D;20190604;000000;49.6;53.1;49.05;50.5;179830;0
ОР ао;D;20190605;000000;50.9;67.85;50.75;57;969200;0
ОР ао;D;20190606;000000;59.15;63;57.2;60.25;451200;0
ОР ао;D;20190607;000000;60.8;60.95;56.7;59.25;194360;0
ОР ао;D;20190610;000000;60;63;57.55;60;112050;0
ОР ао;D;20190611;000000;61.9;61.9;58.35;58.55;93080;0
ОР ао;D;20190613;000000;59.5;59.85;58.35;59.05;33320;0
ОР ао;D;20190614;000000;58.05;59.85;57.5;59;27790;0
ОР ао;D;20190617;000000;59;59.5;58.35;58.95;33220;0
ОР ао;D;20190618;000000;58.5;59.25;58.5;59.15;12950;0
ОР ао;D;20190619;000000;59.1;59.15;58.7;58.7;39700;0
ОР ао;D;20190620;000000;59;59.45;57.5;57.9;71110;0
ОР ао;D;20190621;000000;57.55;58.35;57.5;57.55;34140;0
ОР ао;D;20190624;000000;58.35;58.35;56.7;57;49890;0
ОР ао;D;20190625;000000;57;57.3;55.5;57.15;86960;0
ОР ао;D;20190626;000000;57.2;57.85;56;56.3;118600;0
ОР ао;D;20190627;000000;56.6;78.4;54.9;56;158360;0
ОР ао;D;20190628;000000;56.95;58.05;56;56.1;122120;0
ОР ао;D;20190701;000000;56.45;56.9;55.7;56.9;45470;0
ОР ао;D;20190702;000000;57;57.2;55.5;55.85;59170;0
ОР ао;D;20190703;000000;56.45;56.85;55.7;56.8;82800;0
ОР ао;D;20190704;000000;56.3;57;56;56.4;60710;0
ОР ао;D;20190705;000000;56.55;78.5;56.05;57.4;90640;0
