<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Магнит ао;D;20151230;000000;10972;11228;10962;11228;107708;0
Магнит ао;D;20160104;000000;11230;11398;10949;11366;93153;0
Магнит ао;D;20160105;000000;11240;11385;11203;11350;118924;0
Магнит ао;D;20160106;000000;11350;11351;11150;11320;50905;0
Магнит ао;D;20160111;000000;11008;11079;10502;10667;166511;0
Магнит ао;D;20160112;000000;10600;10600;10291;10367;193926;0
Магнит ао;D;20160113;000000;10400;10515;10323;10352;131279;0
Магнит ао;D;20160114;000000;10339;10339;10021;10230;185013;0
Магнит ао;D;20160115;000000;10228;10228;9555;9640;285166;0
Магнит ао;D;20160118;000000;9582;9940;9251;9940;162238;0
Магнит ао;D;20160119;000000;10040;10530;9990;10427;176576;0
Магнит ао;D;20160120;000000;10271;10427;10105;10350;252743;0
Магнит ао;D;20160121;000000;10410;10971;10381;10850;271973;0
Магнит ао;D;20160122;000000;11070;11100;10729;11050;258112;0
Магнит ао;D;20160125;000000;11113;11113;10861;11042;140550;0
Магнит ао;D;20160126;000000;10958;11080;10911;10975;140342;0
Магнит ао;D;20160127;000000;11023;11285;10982;11285;120360;0
Магнит ао;D;20160128;000000;11250;11662;11250;11485;187015;0
Магнит ао;D;20160129;000000;11501;11720;11400;11500;173033;0
Магнит ао;D;20160201;000000;11542;11674;11258;11270;104971;0
Магнит ао;D;20160202;000000;11230;11470;11094;11150;159196;0
Магнит ао;D;20160203;000000;11085;11200;10928;10955;95403;0
Магнит ао;D;20160204;000000;11110;11299;10805;10889;122376;0
Магнит ао;D;20160205;000000;10890;11000;10673;10765;123948;0
Магнит ао;D;20160208;000000;10831;10854;10363;10450;154135;0
Магнит ао;D;20160209;000000;10412;10485;10000;10103;255416;0
Магнит ао;D;20160210;000000;10031;10220;10005;10070;175949;0
Магнит ао;D;20160211;000000;10090;10198;9710;10143;258560;0
Магнит ао;D;20160212;000000;10203;10290;9977;10000;213450;0
Магнит ао;D;20160215;000000;10175;10175;9840;9920;170643;0
Магнит ао;D;20160216;000000;10015;10058;9865;9900;131917;0
Магнит ао;D;20160217;000000;9903;10052;9732;10000;248700;0
Магнит ао;D;20160218;000000;10050;10362;10005;10318;263102;0
Магнит ао;D;20160219;000000;10264;10415;10200;10354;168654;0
Магнит ао;D;20160220;000000;10357;10408;10310;10345;27569;0
Магнит ао;D;20160222;000000;10379;10718;10320;10655;132089;0
