<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Лента др;D;20181112;000000;231.5;238;231.5;236.9;75116;0
Лента др;D;20181113;000000;237.7;238;233.6;236.5;43182;0
Лента др;D;20181114;000000;237;239;234.1;238;37362;0
Лента др;D;20181115;000000;236.5;238.9;235;236.3;55602;0
Лента др;D;20181116;000000;237.5;238;234.5;235.2;32612;0
Лента др;D;20181119;000000;236.2;237.6;232;232.9;35738;0
Лента др;D;20181120;000000;234;235;230.5;234.7;42038;0
Лента др;D;20181121;000000;234.7;235.3;232.3;233;39121;0
Лента др;D;20181122;000000;233.4;234.5;231.6;233.4;39947;0
Лента др;D;20181123;000000;233.4;236.1;231.1;233.4;68924;0
Лента др;D;20181126;000000;233.4;234.4;229;232.5;73731;0
Лента др;D;20181127;000000;230.5;233.5;230.5;233.5;29293;0
Лента др;D;20181128;000000;233.5;236;232.1;235;50443;0
Лента др;D;20181129;000000;236.5;239.4;234.4;238;63193;0
Лента др;D;20181130;000000;238;240;234.7;236.9;80406;0
Лента др;D;20181203;000000;237;239.9;235.5;238.6;45939;0
Лента др;D;20181204;000000;239.7;240.9;235.5;236.8;47982;0
Лента др;D;20181205;000000;236.8;236.8;232.8;235.8;56592;0
Лента др;D;20181206;000000;234;239.2;233.1;238.1;54673;0
Лента др;D;20181207;000000;238.8;239;218.1;219.7;667008;0
Лента др;D;20181210;000000;222;222;204;205.5;754972;0
Лента др;D;20181211;000000;208;209.8;198.6;199.7;673678;0
Лента др;D;20181212;000000;199.5;202.8;192.1;197.6;407275;0
Лента др;D;20181213;000000;199.5;206.5;195.6;204;480150;0
Лента др;D;20181214;000000;206;206.4;200.8;204.1;168421;0
Лента др;D;20181217;000000;204.1;207.6;204;206.1;203162;0
Лента др;D;20181218;000000;205;207.7;201.1;207;109471;0
Лента др;D;20181219;000000;207.1;214;205.3;213.2;363733;0
Лента др;D;20181220;000000;210;215.6;209.2;215.6;165336;0
Лента др;D;20181221;000000;215.6;216.4;213.3;214.2;79048;0
Лента др;D;20181224;000000;213;216;207.7;207.8;156794;0
Лента др;D;20181225;000000;205.7;206.1;200;206.1;101702;0
Лента др;D;20181226;000000;205;208.8;205;208.5;110482;0
Лента др;D;20181227;000000;209;214.9;209;213;147037;0
Лента др;D;20181228;000000;214;216;212.5;215.1;82417;0
Лента др;D;20181229;000000;213.5;215;212.1;214;39678;0
Лента др;D;20190103;000000;214;216;211.1;213.8;53726;0
Лента др;D;20190104;000000;211.7;214.6;210.6;211.2;65810;0
Лента др;D;20190108;000000;211.6;213;210.6;211.6;27631;0
Лента др;D;20190109;000000;212.4;212.4;210;210.6;135703;0
Лента др;D;20190110;000000;210.8;214.6;209.2;213.6;162881;0
Лента др;D;20190111;000000;215;224;213;221.6;267905;0
Лента др;D;20190114;000000;225.8;225.8;216.5;221.8;60063;0
Лента др;D;20190115;000000;220.5;225;220.5;223.1;116183;0
Лента др;D;20190116;000000;223.1;224.7;218.5;220.9;88460;0
Лента др;D;20190117;000000;220.9;224.3;218.3;224;162869;0
Лента др;D;20190118;000000;224;224.9;222;223;83268;0
Лента др;D;20190121;000000;224.5;228.6;223.1;226.2;301653;0
Лента др;D;20190122;000000;227;228.4;224.2;224.5;285767;0
Лента др;D;20190123;000000;224.5;228.5;223.3;227.9;153038;0
Лента др;D;20190124;000000;228.4;228.4;221.7;223.8;184806;0
Лента др;D;20190125;000000;224;225.8;224;224.7;109962;0
Лента др;D;20190128;000000;225.4;226.2;221.1;223.5;120793;0
Лента др;D;20190129;000000;223;223.8;219.6;221;148585;0
Лента др;D;20190130;000000;220.4;221.5;217.1;219.4;108810;0
Лента др;D;20190131;000000;219.3;220.8;216.1;217.8;284982;0
Лента др;D;20190201;000000;217.8;219.1;217.1;218.4;94639;0
Лента др;D;20190204;000000;219.4;220.8;214.3;214.8;165988;0
Лента др;D;20190205;000000;214.8;217.8;210.4;217.1;238426;0
Лента др;D;20190206;000000;217.8;222.5;214.1;221.6;389095;0
Лента др;D;20190207;000000;220;222;219.1;219.7;88344;0
Лента др;D;20190208;000000;219.1;220;217.1;217.7;53322;0
Лента др;D;20190211;000000;219.6;219.6;216;216.9;51977;0
Лента др;D;20190212;000000;216.6;219.5;216.6;217.4;118671;0
Лента др;D;20190213;000000;217.4;218.7;215.6;216;71822;0
Лента др;D;20190214;000000;214;216.1;210.7;215;67340;0
Лента др;D;20190215;000000;214;216.5;213.3;214;84054;0
