<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
FIVE-гдр;D;20190717;000000;2239;2249.5;2184.5;2192;78823;0
FIVE-гдр;D;20190718;000000;2193;2227.5;2185.5;2188;79911;0
FIVE-гдр;D;20190719;000000;2207.5;2223;2180;2180;67948;0
FIVE-гдр;D;20190722;000000;2187;2197;2101;2101;82773;0
FIVE-гдр;D;20190723;000000;2118;2152;2102;2136.5;57422;0
FIVE-гдр;D;20190724;000000;2148.5;2149.5;2116.5;2129.5;47971;0
FIVE-гдр;D;20190725;000000;2129.5;2162;2112.5;2140;77766;0
FIVE-гдр;D;20190726;000000;2144;2150;2101;2118.5;101786;0
FIVE-гдр;D;20190729;000000;2134;2148.5;2101;2101.5;75042;0
FIVE-гдр;D;20190730;000000;2119.5;2121.5;2074.5;2110.5;45696;0
FIVE-гдр;D;20190731;000000;2091;2127.5;2072;2100.5;111721;0
FIVE-гдр;D;20190801;000000;2109.5;2174.5;2100;2165.5;92340;0
FIVE-гдр;D;20190802;000000;2130;2177;2106;2136;127071;0
FIVE-гдр;D;20190805;000000;2148;2148.5;2056;2058;145765;0
FIVE-гдр;D;20190806;000000;2078.5;2091.5;2064.5;2072;99827;0
FIVE-гдр;D;20190807;000000;2088;2100;2036;2042;86650;0
FIVE-гдр;D;20190808;000000;2050;2097.5;2044;2044;112741;0
FIVE-гдр;D;20190809;000000;2045;2077;2045;2056.5;55501;0
FIVE-гдр;D;20190812;000000;2064;2100;2061;2090;59713;0
FIVE-гдр;D;20190813;000000;2096.5;2124;2081.5;2095.5;89180;0
FIVE-гдр;D;20190814;000000;2109;2125;2073;2073;115428;0
FIVE-гдр;D;20190815;000000;2092.5;2172.5;2091;2126;163272;0
FIVE-гдр;D;20190816;000000;2148;2174;2118.5;2118.5;123079;0
FIVE-гдр;D;20190819;000000;2139.5;2180;2124;2125;242943;0
FIVE-гдр;D;20190820;000000;2125;2193.5;2000;2146.5;301696;0
