<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RI.MOEXCN;D;20150715;000000;6006.2600000;6030.6100000;5972.5500000;6023.8400000;1099667311
RI.MOEXCN;D;20150716;000000;6022.7900000;6100.6100000;6017.1600000;6100.5200000;1141765943
RI.MOEXCN;D;20150717;000000;6098.2800000;6144.8700000;6058.0200000;6066.7700000;1138782884
RI.MOEXCN;D;20150720;000000;6079.3500000;6079.5400000;6006.7600000;6009.1100000;1293821886
RI.MOEXCN;D;20150721;000000;6005.7800000;6058.8500000;6005.7800000;6058.8500000;987014877
RI.MOEXCN;D;20150722;000000;6056.6600000;6096.6500000;6050.5300000;6086.0800000;2749347639
RI.MOEXCN;D;20150723;000000;6085.8200000;6092.9400000;6024.8500000;6051.1500000;2101285397
RI.MOEXCN;D;20150724;000000;6051.6700000;6065.8700000;6019.4000000;6046.5500000;903260109
RI.MOEXCN;D;20150727;000000;6044.0100000;6085.1600000;6010.9300000;6066.7800000;1361324484
RI.MOEXCN;D;20150728;000000;6066.3200000;6095.3800000;6034.5300000;6063.1300000;1286175685
RI.MOEXCN;D;20150729;000000;6071.9100000;6121.2900000;6025.1200000;6113.8600000;1001573174
RI.MOEXCN;D;20150730;000000;6113.8600000;6133.8200000;6048.3200000;6133.8200000;1276127703
RI.MOEXCN;D;20150731;000000;6126.8000000;6293.0300000;6117.9800000;6252.5100000;1651002423
RI.MOEXCN;D;20150803;000000;6253.1500000;6282.2400000;6209.8500000;6223.4300000;1236056767
RI.MOEXCN;D;20150804;000000;6220.8900000;6353.6800000;6220.8900000;6353.6800000;983695101
RI.MOEXCN;D;20150805;000000;6352.1800000;6411.5000000;6307.3600000;6354.0400000;3106175389
RI.MOEXCN;D;20150806;000000;6356.9300000;6364.6100000;6243.8300000;6244.4600000;2364261731
RI.MOEXCN;D;20150807;000000;6249.1900000;6319.6500000;6239.7600000;6257.0500000;1852200362
RI.MOEXCN;D;20150810;000000;6259.1500000;6354.8000000;6225.9400000;6354.8000000;1120284654
RI.MOEXCN;D;20150811;000000;6363.5200000;6411.2900000;6359.4100000;6387.9100000;1612866267
RI.MOEXCN;D;20150812;000000;6385.5400000;6422.0300000;6349.8600000;6388.7600000;1594833839
RI.MOEXCN;D;20150813;000000;6393.1500000;6426.0900000;6277.1800000;6322.9500000;1499728602
RI.MOEXCN;D;20150814;000000;6322.9500000;6357.0600000;6280.4100000;6333.5400000;1449610943
RI.MOEXCN;D;20150817;000000;6331.3500000;6337.2500000;6259.8900000;6296.7200000;1194188643
RI.MOEXCN;D;20150818;000000;6296.0100000;6327.2500000;6260.8500000;6260.8500000;678876225
RI.MOEXCN;D;20150819;000000;6265.4600000;6304.9000000;6250.5300000;6265.3000000;1278526764
RI.MOEXCN;D;20150820;000000;6235.0300000;6279.1700000;6225.6700000;6254.6800000;1070246316
RI.MOEXCN;D;20150821;000000;6249.7700000;6308.0600000;6249.7700000;6267.6000000;1402622428
RI.MOEXCN;D;20150824;000000;6245.2600000;6245.2600000;6083.7700000;6102.3700000;2892683234
