The International Stock Exchange (TISE); XS0795156719; 11.11.2016); 27.08.2021); Итальянская ФБ - EuroTLX; XS1822383094; SCFL0623; GAZP0837;;;;The International Stock Exchange (TISE)
Швейцарская ФБ; XS0863439161; 19.08.2016); 21.09.2015); ALFA0430; XS1589106910; PLZL0223; XS0191754729;;;;Швейцарская ФБ
Берлинская биржа; XS0833264335; Франкфуртская ФБ; 13.11.2020); CHMF0924; XS0304274599; XS1603335610; XS0559915961;;;;Берлинская биржа
Сингапурская ФБ; XS0886632685; Берлинская биржа; 05.11.2015); GAZP0326; GAZP0325; EVRZ0323; ALFA0421;;;;Сингапурская ФБ
РТС; XS0885873322; 18.05.2016); 15.11.2022); STLF0623; XS1964558339; GAZP0327; XS0935311240;;;;РТС
; XS1843443273;; 01.11.2019);;;;;;;;
; Венская ФБ;; 15.11.2019);;;;;;;;
; XS0588433267;; 29.11.2019);;;;;;;;
; XS0609017917;; 02.12.2019);;;;;;;;
; XS0922883318;; 03.12.2019);;;;;;;;
; XS2400040973;; 12.12.2019);;;;;;;;
; XS0461926569;; 17.01.2020);;;;;;;;
; XS0494933806;; 07.02.2020);;;;;;;;
; XS0559800122 (Третий уровень);; 10.03.2020);;;;;;;;
; XS0588436799;; 20.03.2020);;;;;;;;
; XS0708813810;; 20.04.2020);;;;;;;;
; XS0652913558;; 25.03.2020);;;;;;;;
; XS0851672435 (Третий уровень;; 22.04.2020);;;;;;;;
; XS0899969702;; 10.04.2020);;;;;;;;
; XS0918604496;; 20.05.2020);;;;;;;;
; XS1589106910;; 09.06.2020);;;;;;;;
; XS1713519012;; 19.06.2020);;;;;;;;
; XS1985081444;; 26.06.2020);;;;;;;;
; XS2058684619;; 09.07.2020);;;;;;;;
; XS2072914125;; 28.07.2020);;;;;;;;
; XS2091672803;; 31.08.2020);;;;;;;;
; XS2091667043;; 03.09.2020);;;;;;;;
; XS2099763075;; 10.09.2020);;;;;;;;
; XS2118272389;; 21.09.2020);;;;;;;;
; XS2125163688;; 24.09.2020);;;;;;;;
; XS2131995958;; 22.10.2020);;;;;;;;
; XS2143253495;; 06.11.2020);;;;;;;;
; XS2166995725;; 24.11.2020);;;;;;;;
; XS2181436796;; 24.12.2020);;;;;;;;
; XS2185963803;; 27.01.2021);;;;;;;;
; XS2189376911;; 16.02.2021);;;;;;;;
; XS2210719485;; 15.02.2021);;;;;;;;
; XS2212035690;; 02.03.2021);;;;;;;;
; XS2213664092;; 03.03.2021);;;;;;;;
; XS2215497830;; 01.07.2021);;;;;;;;
; XS2225424303;; 15.07.2021);;;;;;;;
; XS2228213471;; 20.08.2021);;;;;;;;
; XS2243038663;; 14.09.2021);;;;;;;;
; XS2267886971;; 18.11.2021);;;;;;;;
; XS2269286345;; 29.11.2021);;;;;;;;
; XS2281299763;; 17.01.2022);;;;;;;;
; XS2296660454;; 31.01.2022);;;;;;;;
; 25.03.2021);; 01.02.2022);;;;;;;;
; 28.04.2021);; 20.07.2017);;;;;;;;
; XS2360268762;; 24.05.2018);;;;;;;;
; XS2387703866;; 23.05.2019);;;;;;;;
; XS0920334900;; 13.04.2020);;;;;;;;
; XS2010044381;; 10.07.2020);;;;;;;;
; XS0802648955;; 09.11.2020);;;;;;;;
; CH0205819433;; 06.07.2017);;;;;;;;
; XS0205828477;; 11.02.2019);;;;;;;;
; XS0244105283;; 14.03.2019);;;;;;;;
; XS0290581569;; 14.08.2019);;;;;;;;
; XS0304273948;; 11.12.2019);;;;;;;;
; XS0304274599;; 19.12.2019);;;;;;;;
; XS0484209159;; 30.01.2020);;;;;;;;
; XS0585211591 (Третий уровень;; 14.04.2020);;;;;;;;
; XS0587030957;; 27.05.2020);;;;;;;;
; XS0643176448;; 06.07.2020);;;;;;;;
; XS0648402583;; 05.08.2020);;;;;;;;
; XS0776121062 (Третий уровень;; 12.11.2020);;;;;;;;
; XS0783242877 (Третий уровень;; 09.04.2021);;;;;;;;
; XS0783934325;; 23.08.2021);;;;;;;;
; XS0846652666;; 15.11.2021);;;;;;;;
; XS0855334289;; 25.02.2022);;;;;;;;
; XS0879105558 (Третий уровень);; 22.06.2020);;;;;;;;
; XS0888245122;; 02.12.2021);;;;;;;;
; XS0893212398;; 25.10.2018);;;;;;;;
; XS0911599701 (Третий уровень;; 12.04.2019);;;;;;;;
; XS0923110232 (Третий уровень);; 12.02.2020);;;;;;;;
; XS0925043100;; 06.03.2020);;;;;;;;
; XS0924078453 (Третий уровень;; 23.11.2021);;;;;;;;
; XS0923472814;; 23.01.2020);;;;;;;;
; XS0921331509;; 21.01.2020);;;;;;;;
; XS0979891925;; 16.08.2021);;;;;;;;
; XS1041815116;; 13.12.2021);;;;;;;;
; XS1210016249 (Третий уровень);;;;;;;;;;
; XS1269959034 (Третий уровень;;;;;;;;;;
; XS1405775377;;;;;;;;;;
; XS1434175730 (Третий уровень;;;;;;;;;;
; XS1449458915;;;;;;;;;;
; XS1405766384;;;;;;;;;;
